Point,Trees,Shrubs,Peren_FG,bare_groun,Annual_FG,ppt,vpdmin,vpdmax,tmin,tmean,tmax,tdmean,slope,dem,aspect,Runoff,Frosting_R,Flooding_F,BD_depth,AWS_50cm,AWS_25cm,AWS_150cm,AWS_100cm,Min_WTD
1,11,3,53,12,21,883.6830,6.6850,134.0350,42.6480,119.3740,196.1030,54.5540,3.3219,435.2300,215.8400,1,2,3,0.0000,11.2600,5.7500,32.2600,21.7600,153.0000
2,4,4,65,9,23,877.2440,8.7870,147.9740,45.9000,121.8250,197.7590,49.3350,4.5766,385.0410,179.7800,1,2,3,0.0000,11.2600,5.7500,32.2600,21.7600,153.0000
3,11,6,48,9,18,873.9140,8.0700,141.9270,45.1920,120.9380,196.6870,51.7810,0.7546,391.8610,160.1920,1,2,3,0.0000,11.2600,5.7500,32.2600,21.7600,153.0000
4,4,5,60,11,34,704.6020,13.4240,169.4620,63.4890,140.3990,217.3150,53.9380,0.1293,545.9140,352.7510,1,2,1,0.0000,11.0000,5.5000,31.5200,21.5200,153.0000
5,4,4,53,14,17,734.4990,11.6500,167.7330,57.6030,137.2390,216.8850,53.1040,0.0494,527.5460,131.9440,3,2,1,0.0000,8.5000,4.2500,25.7100,17.2100,153.0000
6,2,5,64,15,20,664.1610,11.7690,165.6440,62.0740,139.6590,217.2520,56.8760,0.1112,521.6630,117.4450,3,2,1,0.0000,8.5000,4.2500,25.7100,17.2100,153.0000
7,3,4,68,10,13,751.0710,11.2320,160.8030,58.5300,135.7520,212.9820,55.0740,0.0838,487.9310,87.0019,3,2,1,0.0000,8.5000,4.2500,25.7100,17.2100,153.0000
8,23,7,47,12,28,704.6020,13.4240,169.4620,63.4890,140.3990,217.3150,53.9380,0.1014,545.7290,41.3233,3,2,1,0.0000,8.5000,4.2500,25.7100,17.2100,153.0000
9,0,0,0,0,0,959.8360,9.4900,154.0750,71.0500,143.2580,215.4750,68.1570,0.1228,292.6900,341.9960,-1,3,4,0.0000,10.4500,5.3800,29.5900,20.0700,152.0000
10,19,10,49,18,26,887.7370,11.5640,143.7680,55.5670,128.2770,200.9900,56.7700,0.2113,329.1770,267.8030,-1,3,4,0.0000,10.4500,5.3800,29.5900,20.0700,152.0000
11,45,9,37,1,12,878.7920,11.3840,164.0560,77.7280,152.2360,226.7490,72.0060,0.2223,267.1060,201.7260,-1,3,4,0.0000,10.4500,5.3800,29.5900,20.0700,152.0000
12,40,10,41,0,15,968.9210,11.6550,160.0290,73.1790,144.8470,216.5200,68.2340,0.3510,304.5280,199.0080,-1,3,4,0.0000,10.4500,5.3800,29.5900,20.0700,152.0000
13,17,8,57,13,25,887.7370,11.5640,143.7680,55.5670,128.2770,200.9900,56.7700,0.2312,327.4840,112.1160,-1,3,4,0.0000,10.4500,5.3800,29.5900,20.0700,152.0000
14,10,5,53,17,25,894.6300,10.9230,144.2220,53.6090,127.1000,200.5940,55.5910,0.1978,336.6940,72.1335,-1,3,4,0.0000,10.4500,5.3800,29.5900,20.0700,152.0000
15,18,5,50,6,23,968.9210,11.6550,160.0290,73.1790,144.8470,216.5200,68.2340,0.1409,303.7660,30.6057,-1,3,4,0.0000,10.4500,5.3800,29.5900,20.0700,152.0000
16,25,5,55,4,10,661.2780,11.1920,166.2000,62.0080,139.7960,217.5930,57.3760,0.4274,517.1370,5.8322,1,2,1,0.0000,10.7600,5.5000,28.9800,19.9800,152.0000
17,17,5,49,10,21,674.6030,11.9460,166.6630,63.8150,140.8890,217.9730,57.2600,0.0608,525.3340,4.0739,1,2,1,0.0000,10.7600,5.5000,28.9800,19.9800,152.0000
18,7,5,59,7,20,891.8220,10.0360,144.6870,51.4460,125.8290,200.2150,54.8690,1.2957,340.2780,228.0380,1,3,3,0.0000,11.5000,5.7500,33.6400,23.0000,137.0000
19,19,4,52,9,22,856.5100,10.1630,144.0730,51.5490,125.7100,199.8750,54.5980,0.7621,335.7940,79.0371,1,3,3,0.0000,11.5000,5.7500,33.6400,23.0000,137.0000
20,21,6,55,10,25,912.4870,8.6350,147.7040,48.6450,124.9520,201.2670,54.2400,1.5477,387.4200,325.8630,1,3,3,0.0000,11.5000,5.7500,33.3200,22.8200,137.0000
21,4,1,68,12,15,982.5480,8.4680,147.1480,48.3940,124.7010,201.0150,54.2770,1.9235,407.8130,139.8690,1,3,3,0.0000,11.5000,5.7500,33.3200,22.8200,137.0000
22,38,10,48,5,12,1133.4700,9.2930,156.6640,70.7820,144.2000,217.6280,67.2230,1.3580,320.4530,238.7410,3,3,5,0.0000,11.0000,5.5000,32.9000,21.9600,137.0000
23,42,14,44,4,22,1099.6900,9.1590,159.6370,67.8590,143.3580,218.8610,65.6100,0.0367,332.3000,95.1269,3,3,5,0.0000,11.0000,5.5000,32.9000,21.9600,137.0000
24,56,13,39,4,16,1041.2200,13.3590,153.4650,79.1250,147.1830,215.2490,68.2860,1.8027,322.3550,54.0271,3,3,5,0.0000,11.0000,5.5000,32.9000,21.9600,137.0000
25,0,3,70,9,19,825.7270,9.9970,144.0030,51.1560,125.3360,199.5230,54.2030,0.0488,340.1890,170.7500,1,3,3,0.0000,11.1000,5.7500,32.1000,21.6000,137.0000
26,18,4,50,12,19,825.7270,9.9970,144.0030,51.1560,125.3360,199.5230,54.2030,0.7829,338.9860,66.2731,1,3,3,0.0000,11.1000,5.7500,32.1000,21.6000,137.0000
27,10,7,50,10,19,942.6610,14.5220,158.1250,60.6500,134.3840,208.1240,50.3740,0.9250,444.4720,200.4340,1,2,3,0.0000,11.3800,5.7500,31.3800,21.3800,137.0000
28,6,3,53,18,26,915.8620,12.4370,152.5360,54.9530,129.9140,204.8810,50.4400,1.7429,470.1180,178.9440,1,2,3,0.0000,11.3800,5.7500,31.3800,21.3800,137.0000
29,0,2,67,10,30,898.4300,12.4190,152.2090,54.7800,129.7810,204.7900,50.2760,0.4059,472.7950,37.3198,1,2,3,0.0000,11.3800,5.7500,31.3800,21.3800,137.0000
30,19,5,48,6,21,966.0240,11.7460,155.4100,60.9050,135.1850,209.4690,56.8450,0.4462,424.5000,53.1041,1,2,3,0.0000,11.4400,5.7500,30.8500,21.3500,137.0000
31,21,2,52,7,17,996.1470,8.0900,148.9450,51.4650,127.0360,202.6130,56.3620,3.6563,375.5160,12.7047,1,3,4,0.0000,10.5000,5.2500,30.8400,21.0000,137.0000
32,22,6,62,1,12,1108.5500,12.6040,149.3300,73.9200,142.6220,211.3310,67.5770,2.4885,349.2660,328.5780,2,3,4,0.0000,11.2400,5.7100,30.2900,20.7900,137.0000
33,0,6,71,15,24,915.5010,13.9450,157.8040,60.4410,134.5440,208.6580,51.4520,0.2368,434.5280,358.9450,1,2,3,0.0000,11.0800,5.7500,30.1400,20.6400,137.0000
34,7,4,61,4,20,939.8290,13.8600,157.6040,60.3950,134.5520,208.7190,51.6780,0.0000,432.9970,-1.0000,1,2,3,0.0000,11.0800,5.7500,30.1400,20.6400,137.0000
35,3,5,67,6,21,1041.7800,9.9270,156.3670,68.7050,142.4740,216.2520,65.6160,0.4428,328.9880,165.7230,3,2,4,0.0000,10.9900,5.5000,29.8600,20.4500,137.0000
