Point,Trees,Shrubs,Peren_FG,bare_groun,Annual_FG,ppt,vpdmin,vpdmax,tmin,tmean,tmax,tdmean,slope,dem,aspect,Runoff,Frosting_R,Flooding_F,BD_depth,AWS_50cm,AWS_25cm,AWS_150cm,AWS_100cm,Min_WTD
1,19,8,47,7,22,1003.76,8.644,149.085,49.1187,125.332,201.55,53.9115,0.1064,396.421,180.086,3,3,3,0,11.49,5.75,33.43,22.92,153
2,2,1,66,14,8,822.61,8.9776,138.599,46.5965,122.178,197.766,51.771,1.3441,487.178,211.461,1,3,3,0,11.5,5.75,33.32,22.82,153
3,3,1,69,2,14,849.481,9.4117,138.963,47.8117,122.909,198.013,51.7359,0.0897,485.109,186.564,1,3,3,0,11.5,5.75,33.32,22.82,153
4,20,4,51,11,21,854.956,8.1519,135.181,45.4194,120.827,196.244,52.6243,0.3655,467.371,161.393,1,3,3,0,11.5,5.75,33.32,22.82,153
5,18,11,50,9,20,849.242,9.2913,138.704,47.63,122.765,197.907,51.8689,0.1777,481.862,121.364,1,3,3,0,11.5,5.75,33.32,22.82,153
6,5,2,58,10,12,931.098,6.8812,140.016,43.3555,120.704,198.06,54.2322,0.4959,421.425,222.193,1,2,3,0,11.26,5.75,32.26,21.76,153
7,10,4,60,13,23,863.519,9.6148,144.675,50.1791,124.556,198.941,53.3202,0.9706,336.258,205.116,1,2,3,0,11.26,5.75,32.26,21.76,153
8,4,3,68,8,13,918.378,6.6383,138.058,42.7701,120.131,197.499,54.5068,1.0988,421.575,200.284,1,2,3,0,11.26,5.75,32.26,21.76,153
9,9,7,54,7,23,903.803,8.0186,142.447,43.3708,119.18,194.993,49.8023,1.731,416.974,182.569,1,2,3,0,11.26,5.75,32.26,21.76,153
10,10,3,57,11,14,699.638,12.0338,164.555,63.136,139.45,215.771,55.8537,0.2233,538.239,165.259,1,2,1,0,11,5.5,31.52,21.52,153
11,28,6,53,8,9,696.661,11.1408,164.271,62.3596,139.353,216.355,56.8314,0.1523,527.834,146.064,1,2,1,0,11,5.5,31.52,21.52,153
12,31,9,53,10,15,715.058,13.3924,168.903,63.8636,140.572,217.288,54.1966,0.0628,545.289,39.6339,1,2,1,0,11,5.5,31.52,21.52,153
13,26,6,46,11,18,708.197,12.795,166.929,63.5598,140.054,216.557,55.0057,0.215,542.134,215.452,3,2,1,0,8.7366,4.3683,26.2598,17.6178,153
14,4,5,56,22,24,684.016,10.8201,164.101,60.5325,138.386,216.246,57.1492,0.3329,504.879,167.526,3,2,1,0,8.5,4.25,25.71,17.21,153
15,3,6,61,19,23,696.407,12.203,166.377,63.2985,140.042,216.794,55.8489,0.3656,536.159,136.865,3,2,1,0,8.5,4.25,25.71,17.21,153
16,18,9,55,12,30,1001.17,13.306,166.003,81.6293,155.427,229.233,72.619,0.601,260.485,226.981,-1,3,4,0,10.45,5.38,29.59,20.07,152
17,7,9,52,12,28,867.124,10.4512,145.452,53.0631,127,200.944,55.7672,0.1587,328.443,198.878,-1,3,4,0,10.45,5.38,29.59,20.07,152
18,1,3,58,13,7,894.356,11.9597,144.275,55.5136,128.454,201.403,55.9566,0.2935,337.028,188.359,-1,3,4,0,10.45,5.38,29.59,20.07,152
19,18,7,56,5,20,894.784,10.9608,144.233,53.6683,127.148,200.63,55.5991,0.2989,334.476,150.496,-1,3,4,0,10.45,5.38,29.59,20.07,152
20,1,3,69,11,19,946.041,9.4031,156.634,64.1007,138.118,212.14,64.2787,0.063,308.577,143.097,-1,3,4,0,10.45,5.38,29.59,20.07,152
21,1,13,30,33,9,895.502,11.1364,144.284,53.9438,127.368,200.796,55.6365,0.2048,334.14,123.131,-1,3,4,0,10.45,5.38,29.59,20.07,152
22,15,7,54,7,24,937.858,10.4751,158.146,70.7602,144.203,217.652,65.2455,0.2242,288.88,83.4517,-1,3,4,0,10.45,5.38,29.59,20.07,152
23,0,0,0,0,0,915.801,18.08,160.018,77.842,147.466,217.095,65.922,0.1099,298.271,73.2368,-1,3,4,0,10.45,5.38,29.59,20.07,152
24,0,9,60,22,27,1129.58,11.182,166.514,76.303,151.368,226.44,70.778,0.0463,276.005,37.1077,-1,3,4,0,10.45,5.38,29.59,20.07,152
25,16,6,57,15,29,948.59,12.7779,157.1,74.3448,144.75,215.161,67.8579,0.0189,302.338,35.6026,-1,3,4,0,10.45,5.38,29.59,20.07,152
26,1,9,38,25,7,684.59,11.0184,166.042,62.1765,139.954,217.741,57.6384,0.2357,517.518,129.438,1,2,1,0,10.76,5.5,28.98,19.98,152
27,15,7,50,11,17,1014.06,10.4763,157.411,59.2583,134.52,209.789,59.7031,0.1297,312.976,222.409,-1,3,3,0,10.22,5.27,29.67,19.97,152
28,17,5,45,13,21,803.592,10.7245,158.949,58.3944,135.273,212.158,55.8942,0.1875,484.483,52.7318,3,2,1,0,8.6442,4.3369,24.85,16.9147,145.008
29,24,11,58,2,14,902.71,11.7001,166.202,79.071,153.992,228.92,72.8262,8.7726,266.844,36.3245,-1,3,4,0,10.4823,5.3997,29.7334,20.1549,142.915
30,1,3,69,10,21,890.104,10.6189,144.186,53.2125,126.855,200.503,55.733,0.3278,333.039,76.267,1,3,3,0,11.5,5.75,33.64,23,137
31,15,5,49,10,20,843.501,9.2699,144.085,49.4991,124.436,199.382,53.9648,0.896,361.095,128.472,1,3,4,0,11.5,5.75,32.72,22.22,137
32,49,12,41,4,17,1114.88,9.9047,155.582,73.2363,145.586,217.94,68.493,4.6344,352.569,291.134,3,3,5,0,11,5.5,32.9,21.96,137
33,26,9,49,7,20,1060.34,11.741,155.212,75.3048,145.856,216.415,67.4326,4.0442,341.764,124.3,3,3,5,0,11,5.5,32.9,21.96,137
34,49,16,42,3,14,919.544,12.2311,153.959,75.442,145.155,214.873,66.8076,3.6791,304.13,64.0391,3,3,5,0,11,5.5,32.9,21.96,137
35,14,5,53,13,26,849.161,11.0655,143.58,54.6517,127.485,200.324,55.8275,0.146,339.03,164.962,1,3,3,0,11.1,5.75,32.1,21.6,137
36,17,10,50,4,23,844.853,11.0956,143.61,54.7092,127.476,200.248,55.7379,0.851,341.094,64.5289,1,3,3,0,11.1,5.75,32.1,21.6,137
37,25,6,49,3,15,931.899,14.2076,157.866,60.3696,134.285,208.209,50.8177,0.2048,444.982,184.748,1,2,3,0,11.49,5.74,26.03,21.56,137
38,4,6,63,23,24,876.89,12.4263,157.088,58.7514,134.3,209.857,53.1386,0.1956,462.963,231.018,1,2,3,0,11,5.5,31.48,21.48,137
39,12,3,70,8,7,900.715,12.9066,152.391,54.1269,129.586,205.05,48.5277,1.3859,489.876,235.388,1,2,3,0,11.38,5.75,31.38,21.38,137
40,19,9,57,2,13,936.699,13.2703,154.783,57.7542,132.233,206.722,50.8617,1.9627,454.377,165.493,1,2,3,0,11.38,5.75,31.38,21.38,137
41,13,1,70,1,11,1002.52,13.1455,155.838,58.4051,133.077,207.757,51.4688,0.366,460.315,133.611,1,2,3,0,11.38,5.75,31.38,21.38,137
42,5,8,70,20,22,923.219,11.4345,153.445,58.0965,132.774,207.455,55.0485,0.1445,442.14,144.636,1,2,3,0,11.44,5.75,30.85,21.35,137
43,5,5,69,20,26,924.107,11.4648,153.54,58.1024,132.803,207.507,54.9782,0.2391,443.343,101.529,1,2,3,0,11.44,5.75,30.85,21.35,137
44,17,6,48,11,17,926.072,12.3364,155.956,58.8704,133.718,208.572,53.5742,0.2499,436.386,40.2021,1,2,3,0,11.44,5.75,30.85,21.35,137
45,33,8,46,3,20,1012.97,11.3604,145.9,66.0995,135.72,205.346,62.5117,4.0214,353.513,197.189,1,3,4,0,10.5,5.25,30.84,21,137
46,29,7,51,2,18,1012.26,11.2883,146.662,65.7871,135.745,205.71,62.4181,2.458,352.263,125.414,1,3,4,0,10.5,5.25,30.84,21,137
47,11,6,58,16,12,1097.48,13.9731,149.12,76.5438,144.123,211.709,67.6159,2.4361,347.628,289.806,2,3,4,0,11.24,5.71,30.29,20.79,137
48,18,10,58,10,26,1064.74,11.7709,152.205,72.7242,143.209,213.702,66.9408,0.2093,329.249,268.487,2,3,4,0,11.24,5.71,30.29,20.79,137
49,18,10,52,9,24,1015.05,13.5984,148.189,76.4696,143.834,211.206,68.0998,2.0868,339.315,254.526,2,3,4,0,11.24,5.71,30.29,20.79,137
50,40,7,45,3,14,1030.89,13.5249,147.556,76.2523,143.489,210.733,67.935,5.4952,325.045,245.104,2,3,4,0,11.24,5.71,30.29,20.79,137
51,5,7,59,13,14,983.094,14.5648,152.561,78.2399,146.578,214.924,68.4304,1.1674,317.317,221.912,2,3,4,0,11.24,5.71,30.29,20.79,137
52,50,7,41,6,17,1134.34,13.7591,150.271,76.106,144.196,212.293,67.6721,2.2108,344.26,153.175,2,3,4,0,11.24,5.71,30.29,20.79,137
53,13,9,51,10,25,983.143,14.0636,148.748,77.1529,144.44,211.736,68.2185,0.3027,324.178,82.1674,2,3,4,0,11.24,5.71,30.29,20.79,137
54,11,5,55,15,14,914.926,13.9862,157.642,60.3091,134.336,208.372,51.2189,0.0982,443.665,211.016,1,2,3,0,11.08,5.75,30.14,20.64,137
55,8,3,58,12,25,843.839,12.2481,156.364,58.6019,133.746,208.9,53.2759,0.167,451.726,92.2011,1,2,3,0,11.08,5.75,30.14,20.64,137
56,11,8,58,9,17,1120.61,9.6218,156.789,69.15,143.084,217.027,65.9832,0.2271,326.46,274.582,3,2,4,0,10.99,5.5,29.86,20.45,137
57,3,5,71,15,25,962.799,11.2861,159.596,64.3496,139.296,214.249,61.4274,0.5489,368.35,204.57,3,2,4,0,10.99,5.5,29.86,20.45,137
58,5,4,67,11,22,1017.23,10.8214,158.502,68.0612,142.407,216.759,64.2103,0.2073,363.305,191.127,3,2,4,0,10.99,5.5,29.86,20.45,137
59,12,7,58,9,19,1093.89,9.824,156.223,69.2802,142.934,216.594,65.9481,0.223,323.903,183.309,3,2,4,0,10.99,5.5,29.86,20.45,137
60,21,10,54,13,29,997.431,11.2146,156.747,63.6384,137.911,212.192,60.4376,0.5061,381.095,119.119,3,2,4,0,10.99,5.5,29.86,20.45,137
61,17,4,57,8,19,877.968,11.0392,154.101,66.6224,139.975,213.335,62.8433,1.5262,393.545,73.111,3,2,4,0,10.99,5.5,29.86,20.45,137
62,4,5,74,10,19,1030.02,9.1168,157.512,66.5695,141.651,216.74,65.0176,0.0238,332.31,42.5585,3,2,4,0,10.99,5.5,29.86,20.45,137
63,11,5,61,2,19,931.906,8.5541,156.944,62.9013,138.896,214.898,63.6441,0,344.563,-1,3,2,4,0,10.99,5.5,29.86,20.45,137
